ticker,announce_datetime,bmo_amc,eps_actual,eps_estimate
META,2022-02-02 16:08:00-05:00,AMC,3.67,3.84
META,2021-10-25 16:05:00-04:00,AMC,3.22,3.19
NVDA,2025-06-26 12:00:00-04:00,AMC,,5.57
NVDA,2025-05-28 16:20:00-04:00,AMC,0.96,0.93
NVDA,2025-02-26 16:20:00-05:00,AMC,0.89,0.84
NVDA,2024-11-20 16:20:00-05:00,AMC,0.81,0.75
NVDA,2024-08-28 16:20:00-04:00,AMC,0.68,0.64
NVDA,2024-05-22 16:22:00-04:00,AMC,0.61,0.56
NVDA,2024-02-21 16:22:00-05:00,AMC,5.16,4.64
NVDA,2023-11-21 16:20:00-05:00,AMC,4.02,3.37
NVDA,2023-08-23 16:20:00-04:00,AMC,2.7,2.09
NVDA,2023-05-24 16:20:00-04:00,AMC,1.09,0.92
NVDA,2023-02-22 16:50:00-05:00,AMC,0.88,0.81
NVDA,2022-11-16 16:20:00-05:00,AMC,0.58,0.69
NVDA,2022-08-24 16:20:00-04:00,AMC,0.51,1.26
NVDA,2022-05-25 16:20:00-04:00,AMC,1.36,1.29
NVDA,2022-02-16 16:24:00-05:00,AMC,1.32,1.22
NVDA,2021-11-17 16:21:00-05:00,AMC,1.17,1.11
JPM,2027-01-14 08:30:00-05:00,BMO,,
JPM,2026-10-13 08:30:00-04:00,BMO,,
JPM,2026-07-14 08:30:00-04:00,BMO,,
JPM,2026-04-14 08:30:00-04:00,BMO,,
JPM,2026-01-13 08:30:00-05:00,BMO,,
JPM,2025-10-14 08:30:00-04:00,BMO,,
JPM,2025-07-15 08:30:00-04:00,BMO,,
JPM,2025-05-21 10:00:00-04:00,BMO,,
JPM,2025-04-11 06:53:00-04:00,BMO,4.91,4.61
JPM,2025-01-15 06:55:00-05:00,BMO,4.81,4.11
JPM,2024-10-11 06:54:00-04:00,BMO,4.37,4.01
JPM,2024-07-12 06:50:00-04:00,BMO,4.26,4.19
JPM,2024-04-12 06:50:00-04:00,BMO,4.44,4.11
JPM,2024-01-12 06:53:00-05:00,BMO,3.04,3.32
JPM,2023-10-13 06:51:00-04:00,BMO,4.5,3.96
JPM,2023-07-14 06:49:00-04:00,BMO,4.98,4.0
TSLA,2025-04-22 16:07:00-04:00,AMC,0.27,0.39
TSLA,2025-01-29 16:12:00-05:00,AMC,0.73,0.76
TSLA,2024-10-23 16:07:00-04:00,AMC,0.72,0.58
TSLA,2024-07-23 16:07:00-04:00,AMC,0.52,0.62
TSLA,2024-04-23 16:04:00-04:00,AMC,0.45,0.51
TSLA,2024-01-24 16:00:00-05:00,AMC,0.71,0.74
TSLA,2023-10-18 16:08:00-04:00,AMC,0.66,0.72
TSLA,2023-07-19 16:05:00-04:00,AMC,0.91,0.82
TSLA,2023-04-19 16:07:00-04:00,AMC,0.85,0.85
TSLA,2023-01-25 16:12:00-05:00,AMC,1.19,1.13
TSLA,2022-10-19 16:07:00-04:00,AMC,1.05,0.99
TSLA,2022-07-20 16:07:00-04:00,AMC,0.76,0.6
TSLA,2022-04-20 16:09:00-04:00,AMC,1.07,0.75
TSLA,2022-01-26 16:07:00-05:00,AMC,0.85,0.79
TSLA,2021-10-20 16:08:00-04:00,AMC,0.62,0.53
TSLA,2021-07-26 16:07:00-04:00,AMC,0.48,0.33
